kelime,vektör_1,vektör_2,vektör_3,vektör_4,vektör_5,vektör_6,vektör_7,vektör_8,vektör_9,vektör_10,vektör_11,vektör_12,vektör_13,vektör_14,vektör_15,vektör_16,vektör_17,vektör_18,vektör_19,vektör_20,vektör_21,vektör_22,vektör_23,vektör_24,vektör_25,vektör_26,vektör_27,vektör_28,vektör_29,vektör_30,vektör_31,vektör_32,vektör_33,vektör_34,vektör_35,vektör_36,vektör_37,vektör_38,vektör_39,vektör_40,vektör_41,vektör_42,vektör_43,vektör_44,vektör_45,vektör_46,vektör_47,vektör_48,vektör_49,vektör_50,vektör_51,vektör_52,vektör_53,vektör_54,vektör_55,vektör_56,vektör_57,vektör_58,vektör_59,vektör_60,vektör_61,vektör_62,vektör_63,vektör_64,vektör_65,vektör_66,vektör_67,vektör_68,vektör_69,vektör_70,vektör_71,vektör_72,vektör_73,vektör_74,vektör_75,vektör_76,vektör_77,vektör_78,vektör_79,vektör_80,vektör_81,vektör_82,vektör_83,vektör_84,vektör_85,vektör_86,vektör_87,vektör_88,vektör_89,vektör_90,vektör_91,vektör_92,vektör_93,vektör_94,vektör_95,vektör_96,vektör_97,vektör_98,vektör_99,vektör_100
kırmızı,0.100821,0.912592,0.675556,0.486255,-0.81631,0.157001,-0.11224,0.255162,0.624701,0.121526,-0.499946,0.153666,-0.772355,0.063627,-0.841681,-0.902969,-0.710422,0.3386,0.916611,0.861748,-0.553318,-0.56566,0.967474,-0.192102,0.954716,-0.436382,-0.689066,0.393676,0.572703,0.759077,-0.360122,-0.949413,-0.623693,-0.809671,0.979062,-0.85168,-0.822587,-0.414677,0.709113,0.653902,-0.441149,-0.687784,0.375042,-0.04645,-0.050773,-0.405336,0.959529,-0.308072,0.384359,-0.443285,0.143047,0.211981,0.52445,-0.258992,0.964035,-0.044718,-0.983738,0.396393,0.015985,-0.376564,-0.445924,0.86234,0.210022,-0.678563,0.487682,0.77064,0.877749,0.622775,0.935002,-0.848477,0.715232,0.776846,0.895008,-0.153634,0.968444,0.893449,-0.925983,-0.566947,0.748062,0.780352,-0.680053,0.48755,1.6e-05,-0.693186,-0.547761,-0.216093,0.96284,-0.68036,0.117725,0.928184,0.770707,-0.230522,0.716359,0.982508,-0.342848,0.979261,0.751061,-0.855972,0.524106,-0.948026
mavi,-0.486809,-0.044622,-0.161891,-0.453394,-0.765178,-0.232537,0.541645,0.540917,0.372745,0.127396,0.573193,0.33698,0.656647,-0.208641,0.021779,-0.52889,-0.472411,-0.714047,-0.902604,0.822454,-0.359562,-0.983812,-0.429198,0.030504,-0.294267,0.588357,0.572032,-0.0316,-0.698814,-0.104078,0.70238,-0.91397,0.348563,-0.899309,-0.035067,-0.610645,0.488083,0.196254,-0.715915,-0.767134,-0.571498,0.523131,0.802283,0.143385,-0.962471,0.093023,-0.446856,0.695604,0.390108,0.710112,-0.831645,-0.109001,-0.635454,0.739133,0.662667,0.844529,0.25244,0.68345,-0.717716,-0.414344,0.884924,-0.287204,-0.825665,-0.575996,-0.098464,0.091997,-0.538909,-0.087613,0.697257,0.88747,-0.617113,-0.55092,-0.909665,0.370246,0.860843,-0.024468,-0.8765,-0.869723,0.17098,-0.270803,0.095031,-0.748404,0.242976,-0.724441,0.929265,0.157634,0.468177,0.486719,0.167763,0.319972,-0.587616,0.583015,-0.903954,-0.946949,0.56488,-0.018048,0.49452,0.404075,0.083832,0.09796
yeşil,0.053781,-0.767935,-0.769811,-0.017179,0.495475,-0.718051,0.130416,-0.041143,-0.262808,-0.392465,-0.099541,0.69424,0.557345,0.453917,0.494784,0.604009,0.460008,-0.376649,0.28062,0.279107,0.326831,-0.531588,0.415211,0.354463,0.66571,0.69739,-0.831869,0.951917,-0.186873,0.642939,0.547143,-0.697945,0.709826,-0.550898,0.310306,0.95783,0.778233,0.703143,0.455937,-0.106846,0.775205,-0.391924,-0.272704,-0.059829,-0.117968,-0.3847,-0.712828,-0.360569,-0.611574,-0.170137,-0.86733,0.574551,0.303663,-0.2411,0.745938,-0.895789,0.611315,-0.767973,-0.788522,-0.541835,-0.318499,-0.476778,0.599823,0.115785,0.816763,0.939661,-0.833317,-0.124316,-0.413067,0.902969,-0.43597,0.239102,0.315107,0.851038,-0.044992,0.24836,-0.998386,0.090718,-0.211488,-0.664858,0.034883,0.577079,-0.09996,-0.598219,-0.86233,-0.818312,-0.052233,0.513585,0.306056,0.423569,-0.271761,0.097945,0.458336,0.45511,0.64598,-0.414595,0.916645,-0.448573,0.497635,-0.075095
sarı,0.629988,-0.39814,-0.256699,0.911056,0.836463,-0.239497,-0.678275,-0.485333,-0.547228,-0.147952,0.319568,-0.578101,0.919436,-0.853527,-0.330277,-0.097285,0.190786,0.242532,0.384597,-0.858931,-0.749532,0.110419,0.434653,-0.724893,0.872711,-0.241723,0.042671,0.640764,-0.190994,-0.664418,0.915019,0.181869,-0.776996,0.714231,-0.126296,0.114952,0.256803,0.559521,0.294869,0.552886,-0.399022,0.279054,0.838152,-0.342419,-0.779132,0.885883,-0.586334,-0.296606,-0.457817,0.292453,-0.452405,0.44917,-0.738226,0.915796,0.01589,0.242458,-0.540975,-0.999136,-0.801336,0.467513,-0.570081,0.029991,-0.39669,0.738176,-0.034414,0.485424,-0.249041,-0.828869,-0.301038,-0.650138,-0.882386,-0.119769,0.811873,-0.49663,0.4235,0.996118,-0.312281,0.664927,-0.535007,-0.277718,0.458989,0.590135,-0.700697,-0.780454,0.712178,-0.143099,-0.980105,-0.305883,0.330705,-0.322395,0.782178,0.955309,0.254858,-0.820868,0.835459,0.179225,-0.359707,0.293507,0.96073,-0.039909
siyah,-0.756779,-0.082244,0.047852,0.07592,-0.239819,-0.998709,0.7694,-0.590099,0.972892,-0.556688,-0.262166,0.760526,-0.716617,-0.797499,0.907569,-0.9587,0.42514,-0.297427,0.895027,0.395287,0.361075,-0.60033,0.592768,-0.862262,-0.191597,-0.95269,-0.78958,-0.638737,0.891194,0.552932,-0.795611,0.180282,0.457792,-0.154818,0.269888,-0.998185,0.524902,-0.668583,-0.859984,0.238976,0.510666,0.607694,-0.734303,0.504997,-0.601278,-0.616365,0.991656,-0.972302,-0.978669,-0.666686,0.152643,-0.681823,-0.133007,0.188387,0.995582,-0.403484,-0.714475,-0.458684,-0.68493,-0.792,-0.21721,-0.370017,0.718723,0.062375,0.117165,-0.528957,-0.934461,0.701673,0.163964,0.83008,0.825574,-0.291672,0.075136,-0.576247,-0.260744,-0.006188,0.43583,-0.232138,-0.576889,-0.681265,-0.97457,0.508738,-0.766492,0.946045,-0.333055,-0.838006,-0.849519,0.422431,-0.249548,-0.218513,0.506812,-0.798172,0.918387,-0.717484,-0.121403,0.403155,0.991896,-0.612327,0.189475,-0.943592
beyaz,0.068051,0.023308,0.709009,-0.095854,0.443551,0.980757,0.471308,-0.965388,-0.092222,0.191584,0.32674,-0.920966,-0.011375,0.655845,0.547829,-0.30009,-0.334104,0.041759,0.420648,0.854593,0.047139,0.438981,-0.616474,0.85777,-0.979137,-0.588957,0.183214,-0.719344,0.584041,-0.724581,0.306528,-0.62927,-0.981485,0.50438,-0.80503,-0.371654,-0.596838,-0.07952,0.61854,-0.337556,0.392086,-0.60618,-0.19008,-0.659344,0.222266,0.583528,-0.985871,-0.493019,-0.087197,0.70648,-0.39692,0.77666,0.342938,-0.564123,0.077376,-0.143942,0.711659,0.285636,0.119884,0.12599,0.600312,-0.743861,0.459067,0.214899,-0.746895,-0.660192,-0.280361,-0.6314,0.602443,-0.381501,0.415198,-0.351871,0.294024,-0.797833,0.767615,0.973488,-0.196444,-0.400142,0.091794,-0.768886,-0.671863,-0.763778,-0.846136,0.904123,-0.17863,0.446121,0.840661,-0.235973,-0.032352,0.394671,0.959763,-0.259808,0.074911,0.426527,-0.710364,-0.480473,0.104825,0.93646,-0.888891,0.353352
açık,0.81143,-0.134686,-0.528223,-0.37834,0.118793,-0.004942,-0.996545,0.978185,-0.38049,-0.745333,0.467305,0.608722,0.105696,-0.078311,0.502226,-0.440756,-0.789969,-0.443164,-0.263983,-0.239237,-0.565005,0.455366,0.008621,-0.928482,-0.760949,-0.506983,0.037502,0.307278,0.704127,-0.13763,-0.869296,-0.555051,0.180785,-0.144082,-0.680443,-0.474935,-0.298086,0.296074,-0.460299,-0.327368,-0.243864,-0.150211,-0.975901,0.430422,0.422015,0.757906,-0.036194,-0.912765,-0.819045,-0.700439,-0.789692,-0.129614,-0.060368,-0.985703,-0.875429,-0.908639,0.670313,0.350178,0.909971,-0.039137,0.177633,-0.373937,-0.425469,0.887307,-0.79702,-0.586935,-0.935208,0.436983,0.370545,-0.168916,0.511055,0.617462,-0.788697,-0.409084,-0.784468,0.623439,0.26152,-0.191671,-0.686404,0.960603,-0.049787,-0.633715,-0.331872,-0.596322,-0.482665,-0.441045,0.937088,0.914079,-0.031798,-0.00741,-0.344085,-0.954585,0.170827,0.099003,-0.465242,0.163474,0.751012,0.689258,0.073161,0.266764
koyu,0.353108,-0.807704,0.421651,0.944445,-0.197661,-0.272545,0.740725,-0.679286,-0.016741,-0.425177,-0.48574,0.280006,0.551046,-0.408025,-0.773686,-0.310654,0.650217,0.81785,0.327618,0.377475,0.660535,0.879859,0.284714,-0.859997,-0.394882,0.171904,0.169759,0.237124,0.631341,0.672826,-0.511462,-0.471414,0.379527,0.66331,-0.923729,0.857774,-0.726421,-0.341464,-0.063818,0.102697,0.941154,0.381715,-0.218181,0.061289,0.979792,-0.049409,0.97171,0.017593,-0.474338,-0.029978,0.624514,-0.673342,-0.894717,-0.199477,0.222295,-0.031652,0.647869,0.956908,0.528004,0.471589,0.140675,0.878582,-0.626007,-0.633887,-0.045662,-0.497714,0.438197,-0.786591,0.87806,0.673997,0.556888,-0.919554,0.07888,-0.917472,0.364677,-0.761994,0.7416,0.760768,0.650031,-0.760873,0.121955,-0.996011,-0.401567,0.451331,-0.511951,0.988249,0.975785,0.360801,-0.919324,-0.921897,-0.492113,0.582766,0.72104,0.508331,0.288532,0.17583,0.870921,-0.14733,0.589532,-0.142738
pastel,-0.794879,0.254328,0.941263,0.866674,-0.990084,-0.376373,0.622452,0.578965,-0.694311,-0.232114,-0.514777,-0.497361,0.562409,-0.033038,-0.584535,0.069056,-0.922312,-0.478292,-0.180285,-0.892118,-0.325043,-0.907901,0.62871,-0.677527,-0.472144,-0.85998,0.243292,0.401819,0.208917,0.367272,0.202198,-0.745844,-0.768914,0.643983,-0.927934,0.007812,-0.390865,0.420494,0.989353,-0.082789,-0.215069,-0.073485,0.618046,0.165308,0.366628,-0.23639,0.336163,0.23605,0.697662,-0.194694,0.363093,0.88082,-0.985923,-0.808631,-0.994639,-0.526234,-0.813082,-0.128198,0.709225,0.531872,-0.073371,0.808971,-0.459888,-0.726879,-0.44906,-0.571671,0.444995,0.349982,0.066728,-0.928882,-0.767293,0.823387,0.882475,0.368951,-0.279156,0.055213,0.395518,0.30539,0.709971,-0.494442,-0.494402,-0.403546,-0.928355,0.838787,0.231369,0.523244,0.587408,0.609225,0.513561,-0.060337,0.142726,-0.292163,0.66451,0.228743,0.527608,-0.649872,-0.291059,-0.750829,0.913064,-0.587034
canlı,0.680542,0.338906,-0.411276,0.848036,-0.223825,-0.641074,0.681523,-0.019506,-0.069546,-0.839121,0.154572,0.47736,0.779994,-0.554356,-0.64558,-0.152705,0.291399,-0.719106,-0.027305,-0.186663,0.142397,-0.911449,0.525166,0.565114,-0.839728,-0.218661,0.65011,0.981671,0.530885,0.220467,0.497504,0.306027,-0.265599,-0.770383,0.426025,0.288819,0.824153,0.704513,0.72824,0.353411,-0.2218,0.76132,0.148792,-0.3108,0.72172,0.766716,-0.853462,-0.939623,0.470702,-0.680277,0.260212,0.945504,0.156843,0.057097,0.446892,-0.157236,-0.542658,-0.626151,0.868711,-0.228338,0.759768,-0.880913,0.401351,0.159286,0.549776,0.659587,0.248455,-0.207012,-0.635899,0.512757,0.953139,-0.135272,0.123002,-0.798785,-0.320439,0.990338,0.316054,0.659484,-0.806248,-0.690903,0.473791,-0.006129,0.13429,-0.616437,-0.051164,-0.975829,-0.423003,0.325368,0.49476,0.319592,0.204819,-0.400268,-0.185379,0.101415,0.371244,-0.662104,0.136867,-0.77505,0.593447,0.424222
