kelime,vektör_1,vektör_2,vektör_3,vektör_4,vektör_5,vektör_6,vektör_7,vektör_8,vektör_9,vektör_10,vektör_11,vektör_12,vektör_13,vektör_14,vektör_15,vektör_16,vektör_17,vektör_18,vektör_19,vektör_20,vektör_21,vektör_22,vektör_23,vektör_24,vektör_25,vektör_26,vektör_27,vektör_28,vektör_29,vektör_30,vektör_31,vektör_32,vektör_33,vektör_34,vektör_35,vektör_36,vektör_37,vektör_38,vektör_39,vektör_40,vektör_41,vektör_42,vektör_43,vektör_44,vektör_45,vektör_46,vektör_47,vektör_48,vektör_49,vektör_50,vektör_51,vektör_52,vektör_53,vektör_54,vektör_55,vektör_56,vektör_57,vektör_58,vektör_59,vektör_60,vektör_61,vektör_62,vektör_63,vektör_64,vektör_65,vektör_66,vektör_67,vektör_68,vektör_69,vektör_70,vektör_71,vektör_72,vektör_73,vektör_74,vektör_75,vektör_76,vektör_77,vektör_78,vektör_79,vektör_80,vektör_81,vektör_82,vektör_83,vektör_84,vektör_85,vektör_86,vektör_87,vektör_88,vektör_89,vektör_90,vektör_91,vektör_92,vektör_93,vektör_94,vektör_95,vektör_96,vektör_97,vektör_98,vektör_99,vektör_100
kırmızı,0.027255,-0.849709,-0.938087,0.328589,0.029198,0.628737,0.472904,-0.89696,-0.18806,0.185035,-0.690484,0.425508,0.562324,0.878912,-0.990626,-0.041738,-0.890571,0.734131,0.462058,-0.740255,0.637231,-0.511533,-0.395816,-0.978228,-0.807586,0.937551,-0.802767,-0.249778,-0.302889,0.774699,0.639195,0.901902,0.025334,-0.126189,-0.581457,-0.577134,0.692974,0.580929,-0.292279,0.615989,0.934846,0.264272,-0.933569,0.695158,-0.174454,-0.640241,0.538708,0.249808,-0.519801,-0.380037,0.273888,0.513489,0.222132,0.688629,0.066939,0.894309,0.795052,-0.410832,0.754627,-0.465961,-0.967953,-0.994138,0.069507,-0.320519,0.880392,-0.765355,-0.957507,0.930997,0.089751,0.024657,-0.888585,-0.74066,-0.123205,-0.915785,-0.349789,-0.616535,0.217183,-0.586886,-0.628885,-0.555607,-0.690652,0.002578,-0.435961,0.613455,0.05728,-0.309571,-0.349516,-0.218168,0.104047,-0.975192,0.461877,0.844832,0.35246,0.481505,0.908367,-0.539892,-0.482619,0.320614,0.77505,-0.739916
mavi,-0.062362,-0.946869,-0.008826,0.780633,0.082263,0.241365,-0.000607,-0.641073,-0.924152,-0.600364,0.277368,0.507819,0.171275,-0.95961,0.063955,0.920524,0.501843,-0.911163,0.44382,-0.686569,-0.943744,0.173783,-0.075339,-0.263126,0.6851,-0.703896,0.379886,0.702302,-0.602402,0.209791,0.938346,0.622371,-0.183198,-0.471191,-0.714468,0.28825,-0.037945,0.323516,0.931194,-0.827563,-0.875523,-0.264628,0.421521,0.146127,-0.368669,0.676132,0.196079,-0.935636,-0.923296,-0.086729,0.630096,0.296684,-0.880239,0.727457,0.609351,0.410887,-0.800394,-0.432247,-0.32525,0.242133,0.942148,-0.621425,0.600865,-0.272246,-0.428363,-0.45727,-0.343994,0.946441,-0.475652,0.746342,-0.676684,-0.046731,-0.676469,0.482195,0.258952,-0.928267,0.069871,-0.10338,0.171863,0.90521,0.605175,0.149985,0.188383,0.814251,-0.542101,0.162607,-0.584981,0.833545,-0.938926,0.387449,-0.474325,-0.244421,0.09346,0.758558,-0.304166,0.570344,-0.061447,-0.348315,0.866868,0.28933
yeşil,0.262597,0.247222,-0.522695,0.150424,-0.116834,0.236452,0.93591,-0.136589,-0.090807,-0.128031,0.253308,0.387409,0.489013,0.681994,0.641391,-0.260514,-0.71517,0.610242,0.996682,0.170763,-0.925628,0.324284,-0.639954,-0.723189,0.455751,-0.90638,-0.30117,-0.750457,0.193015,-0.366936,0.078391,-0.985245,-0.91916,-0.577587,0.795573,0.164225,-0.991626,0.788004,-0.997843,-0.999644,-0.188894,-0.257271,0.246487,-0.383589,0.090825,-0.077719,0.518662,-0.438969,0.036006,0.377709,0.360147,0.49328,-0.987521,0.754068,0.973124,0.016083,-0.465733,-0.218113,-0.987153,0.498089,0.73488,-0.642849,-0.703412,0.195877,0.137305,0.628981,0.796831,-0.848645,0.252661,-0.008227,0.34057,0.12584,0.067141,0.477893,-0.374853,0.365788,0.524421,0.040139,0.574921,0.533822,0.014217,0.979284,0.28442,-0.746953,-0.415212,-0.112588,0.187277,-0.702781,-0.393118,0.161558,-0.056126,-0.62626,-0.054122,-0.300798,-0.59247,-0.325667,-0.932712,0.966742,0.872493,0.400733
sarı,0.0766,-0.797537,-0.806685,-0.235384,-0.289394,-0.324772,-0.522314,0.864841,0.088948,0.650534,-0.44322,-0.547677,-0.136927,-0.536301,-0.377775,0.16328,-0.834177,0.631582,-0.011033,0.204725,-0.10291,0.351348,0.833543,0.546541,0.941462,-0.066999,-0.460798,-0.738438,0.522656,-0.296789,0.459962,0.073852,0.137961,0.434063,-0.391297,0.901287,-0.737906,-0.394146,0.648625,0.874737,-0.908211,0.754645,-0.675991,-0.826692,-0.82705,-0.750198,0.98759,-0.887398,0.424507,-0.279566,0.580348,-0.807625,-0.324271,-0.324822,-0.760121,-0.744885,0.998223,0.569642,0.308855,-0.655288,0.264046,0.574031,-0.857326,-0.318237,-0.148464,-0.013283,0.470574,-0.35408,-0.006311,0.520299,0.621733,0.520085,-0.337067,0.470716,-0.709972,0.079149,0.505061,0.463095,0.644402,0.945836,-0.211106,-0.036976,-0.845807,-0.916711,0.980956,-0.97496,-0.645654,0.473126,0.74653,0.72675,-0.862228,0.021811,-0.252499,0.588172,0.180023,0.620545,0.876562,-0.789569,0.445845,-0.649945
siyah,0.396669,-0.230628,0.111564,-0.36496,0.762429,0.288269,-0.888517,-0.72079,-0.606565,0.910908,-0.7633,0.880277,-0.770974,0.433432,0.429136,-0.158184,0.842172,-0.793014,0.322877,-0.020169,-0.818432,0.655653,-0.940488,0.507623,0.671491,-0.708833,-0.641916,0.176049,-0.483066,-0.373081,-0.75767,0.891294,-0.540975,0.117707,-0.046384,-0.595568,-0.828874,0.096046,0.217619,-0.69091,-0.869316,-0.19218,-0.320713,0.14665,0.018611,-0.869874,-0.7463,-0.740625,-0.897533,0.078599,0.070904,-0.179629,0.237755,-0.332586,-0.871153,-0.010178,-0.149296,0.549596,-0.780197,0.2746,0.213605,0.861719,0.810002,0.919584,-0.588873,-0.770934,0.408138,-0.026476,-0.196264,-0.578961,-0.332546,0.584118,0.837494,0.563541,0.857921,0.809774,-0.638454,-0.293616,0.344359,-0.302205,-0.486275,0.713055,-0.978958,-0.030028,-0.254518,0.48402,0.180644,-0.177749,-0.669155,0.598171,-0.201819,-0.881536,0.16857,-0.640298,0.285284,-0.936636,-0.941888,0.283635,-0.159605,-0.438948
beyaz,0.555031,-0.881455,-0.679882,-0.47861,0.050761,-0.247603,0.068215,0.698323,-0.789616,0.630926,0.014488,-0.880609,0.239708,0.410711,0.905671,0.296618,-0.970392,0.429777,-0.218269,-0.934335,-0.002954,-0.268348,0.992975,0.443807,0.840954,0.388684,0.863322,-0.688874,0.085841,0.317046,-0.632318,-0.315227,-0.218794,0.821727,-0.20763,-0.474305,-0.941499,0.623229,0.761306,-0.388272,0.891866,-0.495353,0.341145,0.927334,0.076167,-0.748044,0.145493,-0.801846,-0.400026,0.87298,-0.168365,-0.840111,0.950538,0.146929,-0.54628,0.62244,-0.696133,-0.405875,0.008915,0.63826,0.101834,0.892268,-0.262081,0.130711,0.894984,-0.264107,-0.238681,0.612385,0.697416,0.632873,-0.071237,-0.854284,0.532049,-0.802109,0.896181,-0.887443,-0.183114,-0.611574,-0.309613,-0.740287,0.905582,0.552506,0.398355,-0.806812,-0.706192,0.217332,0.908573,0.474649,0.240054,-0.328103,-0.182979,0.193229,0.165771,-0.734472,-0.969126,0.072239,0.099137,-0.150982,-0.4993,-0.131081
açık,-0.919053,-0.186794,-0.967324,-0.231984,-0.591714,-0.047261,0.729075,0.425416,-0.483157,-0.064664,-0.320875,-0.236095,-0.03026,0.056012,0.939369,-0.844249,-0.491747,0.268174,0.220984,0.108847,0.302623,-0.538862,-0.664097,0.01074,0.764241,0.729043,-0.527769,-0.51509,0.84094,0.706586,0.255328,0.363866,-0.644875,-0.558005,0.159624,-0.144073,0.800222,0.777315,0.69339,-0.931983,0.015381,0.860506,0.770641,-0.73441,0.391479,0.423329,-0.949414,0.657041,0.010346,0.278284,0.668094,0.475976,0.316698,-0.036545,-0.634451,0.779643,0.650484,-0.566238,-0.123962,-0.118298,0.40084,0.166359,-0.982322,-0.303492,0.014048,0.992166,0.458284,0.279394,0.435332,-0.71007,0.4892,-0.335047,-0.645858,0.670284,-0.653086,-0.680119,0.588282,0.742849,0.163322,-0.826103,-0.903446,0.666467,-0.137957,0.910077,0.887672,-0.197642,-0.755114,-0.018192,0.153013,-0.869908,-0.441071,-0.334369,-0.313248,-0.83047,0.66286,0.166584,-0.667138,-0.98497,0.96049,-0.221499
koyu,-0.310668,0.46294,0.902307,-0.534217,-0.151298,0.728086,-0.482317,0.473373,0.83909,-0.711995,0.555916,0.150079,0.384254,0.494978,-0.400344,0.333315,-0.799573,0.319456,0.416453,-0.871315,-0.669989,0.953449,-0.505681,-0.246007,-0.353216,0.867402,0.820833,0.468337,0.589921,0.281041,0.075058,-0.83342,-0.094214,-0.440696,-0.665572,0.839032,-0.538132,-0.669684,0.593488,0.011602,0.086959,0.7828,0.709518,-0.672923,-0.805993,0.033082,-0.53189,0.214432,-0.309786,-0.135509,0.075574,0.425967,-0.697005,0.778418,-0.629463,0.146269,-0.116002,-0.142113,-0.420503,0.045907,0.417136,-0.389605,0.507251,-0.051634,0.393465,-0.645987,-0.124128,0.422971,0.936441,0.31674,0.967879,0.947801,-0.721892,0.625623,-0.406067,-0.094734,-0.982241,-0.329612,-0.794271,-0.157893,-0.864993,-0.976197,-0.806324,-0.030876,-0.032355,0.479321,-0.980733,-0.589301,0.03296,0.38512,0.683803,-0.741902,0.771881,-0.065134,0.405403,0.274466,0.316652,-0.597797,0.991097,0.34504
pastel,0.853862,-0.118214,0.615076,-0.524151,-0.378629,-0.096355,-0.918385,0.685296,0.526331,-0.503275,0.440826,-0.73276,-0.882414,-0.253209,0.016745,0.403612,-0.479923,0.564265,-0.932652,0.979064,-0.122459,-0.734189,0.848022,-0.013196,0.409856,0.467478,0.364174,-0.207365,-0.888819,-0.442625,0.123379,0.191599,0.656869,-0.399918,-0.692259,-0.371557,-0.442462,-0.341415,0.136805,-0.538408,0.31922,-0.164892,0.189352,-0.874841,-0.481973,-0.14369,0.181095,-0.72339,-0.372187,-0.295972,0.599651,-0.927562,0.079737,-0.464588,0.946014,0.486332,0.881358,0.365627,-0.895583,-0.297914,-0.192814,-0.548011,-0.709346,0.249045,-0.129643,0.312203,-0.122873,0.44535,-0.466759,0.539092,0.208162,-0.706147,-0.551685,-0.145559,-0.570239,0.966072,0.858141,-0.006731,0.40683,-0.347731,0.937764,-0.068444,0.850671,-0.500111,-0.786717,-0.899141,-0.324251,-0.718297,-0.900859,0.026344,-0.855702,0.427292,0.348094,0.412346,-0.58548,-0.035887,0.86389,0.782615,-0.909212,0.674864
canlı,0.345665,-0.14056,0.003987,0.915951,-0.0359,-0.577271,0.772158,0.44202,-0.946432,0.832641,-0.129347,-0.715193,-0.535756,0.929295,0.639923,0.316912,-0.215621,-0.072577,-0.049545,-0.745848,0.833621,-0.159523,-0.179985,0.88205,-0.129304,-0.177914,0.176533,-0.772644,-0.537897,-0.433804,0.363341,-0.362383,-0.051159,-0.933797,-0.736505,0.355988,-0.412307,-0.739926,0.466213,-0.922091,0.83356,-0.724516,-0.292687,0.563019,0.498011,-0.661687,0.026194,0.848801,-0.429024,0.828571,-0.418521,0.585571,0.767384,0.385415,0.042422,0.318798,0.778457,0.307669,0.19092,-0.178891,-0.070506,-0.997083,-0.040325,-0.351496,0.966665,0.020155,-0.789734,0.376556,0.483426,0.635594,0.209561,-0.113678,-0.4798,-0.356577,0.938382,-0.934833,-0.260288,0.469731,-0.831426,-0.244448,-0.41515,-0.302219,-0.96159,0.280859,0.281988,0.181382,-0.875474,0.014465,0.383214,-0.638572,0.26839,-0.202714,0.207824,-0.817468,0.054939,-0.834058,-0.835723,0.193216,-0.449713,0.590212
